CD,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008
CA-36,"Ruiz, Raul",(D),50.7,47.5,50,47
CA-37,"Bass, Karen",(D),84.9,12.7,84,13
CA-38,"Sanchez, Linda",(D),64.9,33.0,61,35
CA-39,"Royce, Ed",(R),47.1,50.8,47,49
CA-40,"Roybal-Allard, Lucille",(D),81.5,16.5,77,19
CA-41,"Takano, Mark",(D),61.5,36.3,59,38
CA-42,"Calvert, Ken",(R),41.4,56.5,43,54
CA-43,"Waters, Maxine",(D),78.0,20.0,75,22
CA-44,"Hahn, Janice",(D),84.7,13.6,81,16
CA-45,"Walters, Mimi",(R),43.0,54.8,46,51
CA-46,"Sanchez, Loretta",(D),61.4,36.2,58,39
CA-47,"Lowenthal, Alan",(D),60.0,37.5,58,39
CA-48,"Rohrabacher, Dana",(R),43.0,54.7,46,51
CA-49,"Issa, Darrell",(R),45.7,52.4,49,48
CA-50,"Hunter, Duncan",(R),37.6,60.4,39,58
CA-51,"Vargas, Juan",(D),69.4,28.9,65,32
CA-52,"Peters, Scott",(D),52.1,45.7,55,43
CA-53,"Davis, Susan",(D),61.4,36.4,61,36
CO-01,"DeGette, Diana",(D),69.0,28.8,70.9,27.6
CO-02,"Polis, Jared",(D),57.9,39.5,61.2,37.2
CO-03,"Tipton, Scott",(R),45.8,51.8,48.4,49.9
CO-04,"Buck, Ken",(R),39.2,58.5,41.9,56.4
CO-05,"Lamborn, Doug",(R),38.3,59.1,39.7,58.8
CO-06,"Coffman, Mike",(R),51.6,46.5,53.6,44.9
CO-07,"Perlmutter, Ed",(D),56.1,41.3,57.4,40.7
CT-01,"Larson, John",(D),63.3,35.6,65.8,32.9
CT-02,"Courtney, Joe",(D),55.9,42.6,58.6,40.0
CT-03,"DeLauro, Rosa",(D),62.6,36.3,62.6,36.2
CT-04,"Himes, Jim",(D),55.1,44.0,59.6,39.7
CT-05,"Esty, Elizabeth",(D),53.5,45.3,56.4,42.4
DE-AL,"Carney, John",(D),58.6,40.0,61.9,36.9
FL-01,"Miller, Jeff",(R),30.2,68.7,32.1,67.0
FL-02,"Graham, Gwen",(D),46.5,52.3,47.1,52.0
FL-03,"Yoho, Ted",(R),37.4,61.5,39.6,59.3
FL-04,"Crenshaw, Ander",(R),35.4,63.7,36.6,62.7
FL-05,"Brown, Corrine",(D),71.2,28.1,70.6,28.8
FL-06,"DeSantis, Ron",(R),41.4,57.7,45.6,53.6
FL-07,"Mica, John",(R),47.1,51.8,49.2,50.0
FL-08,"Posey, Bill",(R),42.2,56.8,44.0,55.1
FL-09,"Grayson, Alan",(D),61.9,37.2,60.3,39.1
FL-10,"Webster, Dan",(R),45.7,53.4,47.2,52.0
FL-11,"Nugent, Rich",(R),40.2,58.8,43.1,55.9
FL-12,"Bilirakis, Gus",(R),44.8,54.0,46.8,52.2
FL-13,"Jolly, David",(R),50.1,48.6,51.3,47.5
FL-14,"Castor, Kathy",(D),65.1,34.0,65.2,34.0
FL-15,"Ross, Dennis",(R),45.6,53.3,46.1,53.1
FL-16,"Buchanan, Vern",(R),44.9,54.2,48.2,50.9
FL-17,"Rooney, Tom",(R),41.2,57.9,43.2,55.9
FL-18,"Murphy, Patrick",(D),47.6,51.7,51.2,48.1
FL-19,"Clawson, Curt",(R),38.8,60.6,42.4,56.9
FL-20,"Hastings, Alcee",(D),82.6,17.0,80.5,19.1
FL-21,"Deutch, Ted",(D),60.6,38.9,63.6,35.9
FL-22,"Frankel, Lois",(D),54.4,44.9,56.8,42.6
FL-23,"Wasserman Schultz, Debbie",(D),61.5,37.9,61.9,37.6
FL-24,"Wilson, Frederica",(D),87.5,12.1,86.2,13.5
FL-25,"Diaz-Balart, Mario",(R),48.7,50.8,45.6,54.0
FL-26,"Curbelo, Carlos",(R),53.1,46.4,49.6,50.0
FL-27,"Ros-Lehtinen, Ileana",(R),53.1,46.4,48.6,51.0
GA-01,"Carter, Buddy",(R),43.0,55.9,44.4,55.0
GA-02,"Bishop, Sanford",(D),58.6,40.8,57.9,41.6
GA-03,"Westmoreland, Lynn",(R),33.0,65.9,34.0,65.3
GA-04,"Johnson, Hank",(D),73.6,25.6,73.2,26.3
GA-05,"Lewis, John",(D),83.1,15.8,84.4,15.0
GA-06,"Price, Tom",(R),37.5,60.8,40.1,59.0
GA-07,"Woodall, Rob",(R),38.3,60.2,39.1,60.1
GA-08,"Scott, Austin",(R),37.5,61.6,37.8,61.6
GA-09,"Collins, Doug",(R),20.5,78.1,24.3,74.7
GA-10,"Hice, Jodi",(R),36.3,62.5,38.8,60.4
GA-11,"Loudermilk, Barry",(R),31.5,66.9,34.7,64.3
GA-12,"Allen, Rick",(R),43.6,55.4,43.9,55.6
GA-13,"Scott, David",(D),69.2,30.0,67.1,32.3
GA-14,"Graves, Tom",(R),25.3,73.2,27.8,71.0
HI-01,"Takai, Mark",(D),69.7,29.0,70.3,28.3
HI-02,"Gabbard, Tulsi",(D),71.4,26.7,73.4,24.9
IA-01,"Blum, Rod",(R),56.2,42.5,58.5,40.4
IA-02,"Loebsack, David",(D),55.8,42.7,57.1,41.6
IA-03,"Young, David",(R),51.4,47.2,52.4,46.3
IA-04,"King, Steve",(R),45.3,53.4,48.5,50.2
ID-01,"Labrador, Raul",(R),32.2,64.9,35.1,62.5
ID-02,"Simpson, Mike",(R),33.1,64.1,37.1,60.5
IL-01,"Rush, Bobby",(D),79.0,20.2,80.8,18.5
IL-02,"Kelly, Robin",(D),80.7,18.5,81.1,18.2
IL-03,"Lipinski, Dan",(D),55.9,42.6,58.3,40.4
IL-04,"Gutierrez, Luis",(D),80.9,17.1,80.5,18.2
IL-05,"Quigley, Mike",(D),66.0,31.8,69.9,28.8
IL-06,"Roskam, Peter",(R),45.1,53.3,51.3,47.3
IL-07,"Davis, Danny",(D),87.2,11.8,89.4,9.9
IL-08,"Duckworth, Tammy",(D),57.4,40.9,61.5,37.1
IL-09,"Schakowsky, Jan",(D),65.0,33.3,68.6,30.3
IL-10,"Dold, Bob",(R),57.5,41.1,63.0,35.9
IL-11,"Foster, Bill",(D),57.8,40.6,61.3,37.5
IL-12,"Bost, Mike",(R),49.7,48.2,54.7,43.6
IL-13,"Davis, Rodney",(R),48.6,48.9,54.6,43.6
IL-14,"Hultgren, Randy",(R),44.2,54.2,50.7,48.0
IL-15,"Shimkus, John",(R),34.1,63.9,42.8,55.4
IL-16,"Kinzinger, Adam",(R),45.2,52.9,50.0,48.2
IL-17,"Bustos, Cheri",(D),57.6,40.6,60.0,38.5
IL-18,"Schock, Aaron",(R),37.4,60.7,44.1,54.4
IN-01,"Visclosky, Pete",(D),61.2,37.4,63.3,35.8
IN-02,"Walorski, Jackie",(R),42.1,56.1,49.6,49.3
IN-03,"Stutzman, Marlin",(R),35.7,62.5,43.0,56.0
IN-04,"Rokita, Todd",(R),36.9,60.9,44.6,54.2
IN-05,"Brooks, Susan",(R),40.7,57.5,46.6,52.6
IN-06,"Messer, Luke",(R),37.3,60.4,43.6,55.0
IN-07,"Carson, Andre",(D),62.9,35.4,66.3,32.8
IN-08,"Bucshon, Larry",(R),39.6,58.4,48.1,50.6
IN-09,"Young, Todd",(R),40.7,57.2,46.2,52.7
KS-01,"Huelskamp, Tim",(R),27.6,70.1,31.0,67.2
KS-02,"Jenkins, Lynn",(R),42.0,55.6,45.3,52.8
KS-03,"Yoder, Kevin",(R),44.3,53.8,48.8,49.9
KS-04,"Pompeo, Mike",(R),36.1,61.6,39.5,58.6
KY-01,"Whitfield, Ed",(R),32.1,66.4,36.9,61.6
KY-02,"Guthrie, Brett",(R),35.1,63.3,37.2,61.5
KY-03,"Yarmuth, John",(D),55.7,42.8,56.2,42.8
KY-04,"Massie, Thomas",(R),34.8,63.4,37.0,61.5
KY-05,"Rogers, Hal",(R),23.2,75.0,31.6,66.6
KY-06,"Barr, Andy",(R),42.2,55.8,44.8,53.7
LA-01,"Scalise, Steve",(R),26.9,70.9,25.3,72.7
LA-02,"Richmond, Cedric",(D),75.8,22.8,73.4,25.4
LA-03,"Boustany, Charles",(R),32.3,66.1,34.1,64.2
LA-04,"Fleming, John",(R),39.7,59.0,39.9,58.9
LA-05,,(R),37.7,61.0,36.7,62.0
LA-06,,(R),32.0,66.1,30.9,67.5
MA-01,"Neal, Richard",(D),64.0,34.3,64.1,33.7
MA-02,"McGovern, Jim",(D),58.7,39.2,60.4,37.5
MA-03,"Tsongas, Niki",(D),56.9,41.4,58.8,39.4
MA-04,"Kennedy, Joe",(D),57.1,41.3,60.4,37.9
MA-05,"Clark, Katherine",(D),65.2,33.1,66.2,32.1
MA-06,"Moulton, Seth",(D),54.7,43.9,56.9,41.4
MA-07,"Capuano, Mike",(D),82.5,15.6,81.9,16.7
MA-08,"Lynch, Stephen",(D),57.8,40.8,57.9,40.5
MA-09,"Keating, Bill",(D),55.5,43.1,57.8,40.6
MD-01,"Harris, Andy",(R),37.8,60.3,38.4,59.6
MD-02,"Ruppersberger, Dutch",(D),62.9,35.1,60.6,37.5
MD-03,"Sarbanes, John",(D),60.6,37.2,60.1,38.0
MD-04,"Edwards, Donna",(D),78.3,20.7,77.3,21.8
MD-05,"Hoyer, Steny",(D),66.2,32.3,65.1,33.6
MD-06,"Delaney, John",(D),55.4,42.6,56.3,42.0
MD-07,"Cummings, Elijah",(D),76.0,22.5,76.2,22.4
MD-08,"Van Hollen, Chris",(D),62.0,36.1,62.8,35.6
ME-01,"Pingree, Chellie",(D),59.6,38.2,60.7,37.5
ME-02,"Poliquin, Bruce",(R),52.9,44.4,54.6,43.4
MI-01,"Benishek, Dan",(R),45.3,53.6,49.7,48.4
MI-02,"Huizenga, Bill",(R),43.1,56.0,48.0,50.3
MI-03,"Amash, Justin",(R),45.8,53.1,49.7,48.6
MI-04,"Moolenaar, John",(R),45.5,53.5,49.6,48.6
MI-05,"Kildee, Dan",(D),60.7,38.3,63.0,35.3
MI-06,"Upton, Fred",(R),48.8,50.2,53.1,45.2
MI-07,"Walberg, Tim",(R),47.9,51.0,50.8,47.4
MI-08,"Bishop, Mike",(R),48.0,51.1,52.0,46.4
MI-09,"Levin, Sander",(D),57.2,41.9,58.1,40.1
MI-10,"Miller, Candice",(R),43.7,55.3,48.0,50.0
MI-11,"Trott, Dave",(R),46.9,52.3,50.2,48.3
MI-12,"Dingell, Debbie",(D),66.2,32.8,66.9,31.4
MI-13,"Conyers, John",(D),85.2,14.3,84.8,14.2
MI-14,"Lawrence, Brenda",(D),81.0,18.6,82.2,17.1
MN-01,"Walz, Tim",(D),49.6,48.2,50.8,46.7
MN-02,"Kline, John",(R),49.1,49.0,50.5,47.6
MN-03,"Paulsen, Erik",(R),49.6,48.8,51.0,47.4
MN-04,"McCollum, Betty",(D),62.5,35.5,62.6,35.5
MN-05,"Ellison, Keith",(D),73.5,24.0,73.4,24.5
MN-06,"Emmer, Tom",(R),41.5,56.5,43.2,54.7
MN-07,"Peterson, Collin",(D),44.1,53.9,47.1,50.4
MN-08,"Nolan, Rick",(D),51.7,46.2,53.1,44.5
MO-01,"Clay, Lacy",(D),79.9,18.9,80.3,18.6
MO-02,"Wagner, Ann",(R),41.4,57.1,46.4,52.6
MO-03,"Luetkemeyer, Blaine",(R),36.1,62.0,42.8,55.8
MO-04,"Hartzler, Vicki",(R),36.4,61.2,41.9,56.5
MO-05,"Cleaver, Emanuel",(D),58.9,39.4,62.0,36.8
MO-06,"Graves, Sam",(R),37.9,60.0,43.1,55.3
MO-07,"Long, Billy",(R),30.3,67.6,35.3,63.1
MO-08,"Smith, Jason",(R),32.0,65.9,38.3,60.0
MS-01,"Nunnelee, Alan",(R),37.0,61.9,36.6,62.4
MS-02,"Thompson, Bennie",(D),66.4,33.0,64.2,35.2
MS-03,"Harper, Gregg",(R),39.1,60.0,38.4,60.8
MS-04,"Palazzo, Steven",(R),31.2,67.6,31.1,67.9
MT-AL,"Zinke, Ryan",(R),41.7,55.4,47.3,49.5
NC-01,"Butterfield, G.K.",(D),71.6,27.9,71,29
NC-02,"Ellmers, Renee",(R),41.7,57.3,43,56
NC-03,"Jones, Walter",(R),41.0,58.0,43,56
NC-04,"Price, David",(D),71.4,27.4,72,27
NC-05,"Foxx, Virginia",(R),39.8,59.1,42,57
NC-06,"Walker, Mark",(R),41.3,57.7,43,56
NC-07,"Rouzer, David",(R),39.9,59.2,42,58
NC-08,"Hudson, Richard",(R),41.0,58.1,42,57
NC-09,"Pittenger, Robert",(R),42.8,56.2,45,54
NC-10,"McHenry, Patrick",(R),40.9,58.0,42,57
NC-11,"Meadows, Mark",(R),37.8,60.9,40,58
NC-12,"Adams, Alma",(D),78.5,20.8,78,21
NC-13,"Holding, George",(R),43.5,55.4,45,54
ND-AL,"Cramer, Kevin",(R),38.9,58.7,44.6,53.3
NE-01,"Fortenberry, Jeff",(R),40.8,57.4,44.2,54.3
NE-02,"Ashford, Brad",(D),45.7,52.9,50.0,48.8
NE-03,"Smith, Adrian",(R),27.8,70.2,31.1,67.1
NH-01,"Guinta, Frank",(R),50.2,48.6,52.8,46.4
NH-02,"Kuster, Annie",(D),54.2,44.5,56.0,43.1
NJ-01,"Norcross, Donald",(D),65.1,33.8,64.7,34.2
NJ-02,"LoBiondo, Frank",(R),53.5,45.4,53.2,45.5
NJ-03,"MacArthur, Tom",(R),51.8,47.2,51.1,47.7
NJ-04,"Smith, Chris",(R),44.7,54.2,45.3,53.6
NJ-05,"Garrett, Scott",(R),47.9,51.0,48.5,50.5
NJ-06,"Pallone, Frank",(D),61.4,37.4,58.4,40.5
NJ-07,"Lance, Leonard",(R),46.3,52.5,47.2,51.6
NJ-08,"Sires, Albio",(D),78.3,20.7,73.2,26.0
NJ-09,"Pascrell, Bill",(D),68.3,30.8,64.0,35.2
NJ-10,"Payne, Donald",(D),87.9,11.5,84.9,14.6
NJ-11,"Frelinghuysen, Rodney",(R),46.6,52.4,47.0,52.1
NJ-12,"Watson Coleman, Bonnie",(D),66.5,32.4,65.7,33.3
NM-01,"Lujan Grisham, Michelle",(D),55.3,39.6,59.7,39.0
NM-02,"Pearce, Steve",(R),44.9,51.7,48.4,50.2
NM-03,"Lujan, Ben",(D),57.5,38.7,61.2,37.5
NV-01,"Titus, Dina",(D),65.6,32.4,64.5,33.0
NV-02,"Amodei, Mark",(R),44.8,52.9,49.4,48.2
NV-03,"Heck, Joe",(R),49.5,48.7,53.5,44.6
NV-04,"Hardy, Cresent",(R),54.4,43.7,56.4,41.4
NY-01,"Zeldin, Lee",(R),49.6,49.1,51,48
NY-02,"King, Peter",(R),51.6,47.2,51,48
NY-03,"Israel, Steve",(D),50.8,48.2,54,46
NY-04,"Rice, Kathleen",(D),56.3,42.8,55,44
NY-05,"Meeks, Gregory",(D),90.6,9.1,86,14
NY-06,"Meng, Grace",(D),67.8,31.0,63,36
NY-07,"Velazquez, Nydia",(D),88.4,10.3,84,15
NY-08,"Jeffries, Hakeem",(D),89.2,10.2,86,14
NY-09,"Clarke, Yvette",(D),85.2,13.9,84,15
NY-10,"Nadler, Jerrold",(D),73.6,25.1,76,23
NY-11,"Grimm, Michael",(R),51.6,47.3,48,51
NY-12,"Maloney, Carolyn",(D),76.9,21.5,80,19
NY-13,"Rangel, Charlie",(D),94.6,4.6,93,6
NY-14,"Crowley, Joe",(D),80.7,18.3,76,23
NY-15,"Serrano, Jose",(D),96.7,3.0,95,5
NY-16,"Engel, Eliot",(D),73.7,25.5,73,26
NY-17,"Lowey, Nita",(D),57.1,41.9,58,41
NY-18,"Maloney, Sean",(D),51.4,47.1,52,47
NY-19,"Gibson, Chris",(R),52.1,45.9,53,45
NY-20,"Tonko, Paul",(D),59.2,38.8,58,40
NY-21,"Stefanik, Elise",(R),52.2,46.1,52,47
NY-22,"Hanna, Richard",(R),48.8,49.2,49,49
NY-23,"Reed, Tom",(R),48.4,49.6,50,49
NY-24,"Katko, John",(R),57.0,41.1,56,42
NY-25,"Slaughter, Louise",(D),58.8,39.4,59,40
NY-26,"Higgins, Brian",(D),63.9,34.3,63,35
NY-27,"Collins, Chris",(R),42.9,55.3,44,54
OH-01,"Chabot, Steve",(R),46.3,52.4,47.2,51.8
OH-02,"Wenstrup, Brad",(R),43.7,54.7,44.3,54.2
OH-03,"Beatty, Joyce",(D),69.7,28.9,67.4,31.3
OH-04,"Jordan, Jim",(R),42.0,56.0,43.7,54.4
OH-05,"Latta, Bob",(R),44.1,53.9,46.0,52.2
OH-06,"Johnson, Bill",(R),42.7,55.2,44.7,53.1
OH-07,"Gibbs, Bob",(R),44.2,53.7,46.9,50.9
OH-08,"Boehner, John",(R),36.4,61.9,38.1,60.3
OH-09,"Kaptur, Marcy",(D),67.6,30.9,66.8,31.6
OH-10,"Turner, Michael",(R),48.2,50.1,49.3,49.3
OH-11,"Fudge, Marcia",(D),82.8,16.5,82.0,17.2
OH-12,"Tiberi, Patrick",(R),43.9,54.4,44.8,53.7
OH-13,"Ryan, Tim",(D),62.9,35.4,62.3,35.8
OH-14,"Joyce, David",(R),47.6,50.9,49.1,49.4
OH-15,"Stivers, Steve",(R),46.3,51.9,46.1,52.2
OH-16,"Renacci, Jim",(R),45.2,53.4,47.2,51.3
OK-01,"Bridenstine, Jim",(R),34.2,65.8,35.8,64.2
OK-02,"Mullin, Markwayne",(R),32.2,67.8,34.3,65.7
OK-03,"Lucas, Frank",(R),26.1,73.9,27.1,72.9
OK-04,"Cole, Tom",(R),32.9,67.1,33.9,66.1
OK-05,"Russell, Steve",(R),40.8,59.2,40.8,59.2
OR-01,"Bonamici, Suzanne",(D),57.3,40.0,59.6,37.7
OR-02,"Walden, Greg",(R),40.5,56.8,43.3,53.8
OR-03,"Blumenauer, Earl",(D),72.0,24.7,72.9,24.3
OR-04,"DeFazio, Peter",(D),51.7,45.0,54.2,42.7
OR-05,"Schrader, Kurt",(D),50.5,47.1,53.0,44.2
PA-01,"Brady, Bob",(D),82.3,16.9,78.7,20.6
PA-02,"Fattah, Chaka",(D),90.4,9.0,91.0,8.8
PA-03,"Kelly, Mike",(R),43.0,55.6,46.3,52.3
PA-04,"Perry, Scott",(R),41.5,57.1,45.1,53.8
PA-05,"Thompson, Glenn",(R),41.5,57.1,47.1,51.5
PA-06,"Costello, Ryan",(R),48.1,50.6,53.0,46.0
PA-07,"Meehan, Pat",(R),48.5,50.4,51.2,47.8
PA-08,"Fitzpatrick, Michael",(R),49.3,49.4,53.2,45.7
PA-09,"Schuster, Bill",(R),35.9,62.8,40.9,57.9
PA-10,"Marino, Tom",(R),38.4,60.1,42.3,56.5
PA-11,"Barletta, Lou",(R),44.5,53.9,47.1,51.7
PA-12,"Rothfus, Keith",(R),40.9,57.8,44.7,54.1
PA-13,"Boyle, Brendan",(D),66.2,32.9,65.4,33.7
PA-14,"Doyle, Michael",(D),68.0,30.6,67.0,32.0
PA-15,"Dent, Charlie",(R),47.9,50.8,52.1,46.6
PA-16,"Pitts, Joe",(R),46.3,52.4,50.1,49.0
PA-17,"Cartwright, Matt",(D),55.4,43.3,56.9,41.9
PA-18,"Murphy, Tim",(R),41.0,57.9,43.8,55.2
RI-01,"Cicilline, David",(D),66.2,32.2,66.6,31.8
RI-02,"Langevin, Jim",(D),59.8,38.3,59.9,38.3
SC-01,"Sanford, Mark",(R),40.2,58.3,42.7,56.1
SC-02,"Wilson, Joe",(R),39.4,59.1,39.4,59.5
SC-03,"Duncan, Jeff",(R),33.9,64.5,35.1,63.5
SC-04,"Gowdy, Trey",(R),36.2,62.2,37.7,60.6
SC-05,"Mulvaney, Mick",(R),43.6,55.1,43.8,55.0
SC-06,"Clyburn, Jim",(D),70.9,28.1,70.1,28.9
SC-07,"Rice, Tom",(R),44.4,54.5,45.3,53.6
SD-AL,"Noem, Kristi",(R),39.9,57.9,44.7,53.2
TN-01,"Roe, Phil",(R),25.7,72.7,28.6,69.9
TN-02,"Duncan, John",(R),30.9,67.3,34.5,64.0
TN-03,"Fleischmann, Chuck",(R),35.1,63.3,37.3,61.3
TN-04,"DesJarlais, Scott",(R),33.1,65.3,35.8,62.6
TN-05,"Cooper, Jim",(D),55.9,42.5,57.5,41.3
TN-06,"Black, Diane",(R),29.5,69.1,33.5,64.9
TN-07,"Blackburn, Marsha",(R),32.9,65.7,36.3,62.4
TN-08,"Fincher, Steve",(R),32.8,66.1,34.9,64.1
TN-09,"Cohen, Steve",(D),78.3,20.9,77.0,22.5
TX-01,"Gohmert, Louie",(R),27.5,71.6,30,69
TX-02,"Poe, Ted",(R),35.6,62.9,37,62
TX-03,"Johnson, Sam",(R),34.2,64.3,37,61
TX-04,"Ratcliffe, John",(R),24.8,74.0,29,70
TX-05,"Hensarling, Jeb",(R),34.4,64.5,37,62
TX-06,"Barton, Joe",(R),40.8,57.9,42,57
TX-07,"Culberson, John",(R),38.6,59.9,40,59
TX-08,"Brady, Kevin",(R),21.7,77.0,26,73
TX-09,"Green, Al",(D),78.0,21.1,76,23
TX-10,"McCaul, Michael",(R),38.8,59.1,43,56
TX-11,"Conaway, Michael",(R),19.6,79.2,23,76
TX-12,"Granger, Kay",(R),31.7,66.8,35,64
TX-13,"Thornberry, Mac",(R),18.5,80.2,22,77
TX-14,"Weber, Randy",(R),39.5,59.3,42,57
TX-15,"Hinojosa, Ruben",(D),57.4,41.5,57,42
TX-16,"O'Rourke, Beto",(D),64.2,34.5,64,35
TX-17,"Flores, Bill",(R),37.7,60.4,41,58
TX-18,"Jackson-Lee, Sheila",(D),76.1,22.8,77,23
TX-19,"Neugebauer, Randy",(R),25.0,73.6,28,71
TX-20,"Castro, Joaquin",(D),58.9,39.7,58,41
TX-21,"Smith, Lamar",(R),37.9,59.8,42,56
TX-22,"Olson, Pete",(R),36.7,62.1,39,60
TX-23,"Hurd, Will",(R),48.1,50.7,50,49
TX-24,"Marchant, Kenny",(R),38.0,60.4,41,58
TX-25,"Williams, Roger",(R),37.8,59.9,43,56
TX-26,"Burgess, Michael",(R),30.7,67.6,35,64
TX-27,"Farenthold, Blake",(R),38.2,60.5,40,59
TX-28,"Cuellar, Henry",(D),60.3,38.7,58,41
TX-29,"Green, Gene",(D),65.9,33.0,62,37
TX-30,"Johnson, E.B.",(D),79.6,19.6,78,21
TX-31,"Carter, John",(R),38.3,59.6,43,56
TX-32,"Sessions, Pete",(R),41.5,57.0,44,55
TX-33,"Veasey, Mark",(D),72.0,27.1,69,31
TX-34,"Vela, Filemon",(D),60.8,38.3,60,39
TX-35,"Doggett, Lloyd",(D),63.0,34.6,63,35
TX-36,"Babin, Brian",(R),25.7,73.2,30,69
UT-01,"Bishop, Rob",(R),20.4,77.4,29.4,67.7
UT-02,"Stewart, Chris",(R),29.2,68.0,38.4,58.5
UT-03,"Chaffetz, Jason",(R),19.5,78.3,29.5,67.5
UT-04,"Love, Mia",(R),30.2,67.2,40.9,56.1
VA-01,"Wittman, Rob",(R),45.6,53.0,46.9,52.3
VA-02,"Rigell, Scott",(R),50.1,48.6,50.4,48.7
VA-03,"Scott, Bobby",(D),79.0,20.0,78.5,20.9
VA-04,"Forbes, Randy",(R),48.8,50.1,48.9,50.4
VA-05,"Hurt, Robert",(R),45.9,52.5,47.9,51.1
VA-06,"Goodlatte, Bob",(R),39.5,58.8,42.0,57.0
VA-07,"Brat, Dave",(R),41.7,56.9,43.6,55.6
VA-08,"Beyer, Don",(D),67.8,31.0,68.5,30.6
VA-09,"Griffith, Morgan",(R),34.9,63.1,40.2,58.4
VA-10,"Comstock, Barbara",(R),48.8,49.9,51.0,48.2
VA-11,"Connolly, Gerry",(D),62.5,36.3,62.3,37.0
VT-AL,"Welch, Peter",(D),67.0,31.2,67.8,30.6
WA-01,"DelBene, Suzan",(D),54.1,43.3,56.3,41.9
WA-02,"Larsen, Rick",(D),59.2,38.0,60.5,37.6
WA-03,"Herrera Beutler, Jaime",(R),47.9,49.6,50.9,47.1
WA-04,"Newhouse, Dan",(R),37.9,59.7,39.2,58.9
WA-05,"McMorris Rodgers, Cathy",(R),43.7,53.5,46.3,51.2
WA-06,"Kilmer, Derek",(D),56.1,41.2,57.0,40.9
WA-07,"McDermott, Jim",(D),79.2,18.1,80.4,18.0
WA-08,"Reichert, David",(R),49.7,48.1,51.5,46.8
